GEO_id2,Veteran_MOE
6037101110,0
6037101122,0
6037101210,0
6037101220,0
6037101300,0
6037101400,0
6037102103,0
6037102104,0
6037102105,0
6037102107,0
6037103101,0
6037103102,0
6037103200,0
6037103300,0
6037103400,0
6037104103,0
6037104105,0
6037104108,0
6037104124,0
6037104201,0
6037104203,0
6037104204,0
6037104310,0
6037104320,0
6037104401,0
6037104403,0
6037104404,0
6037104500,0
6037104610,0
6037104620,0
6037104701,0
6037104703,0
6037104704,0
6037104810,0
6037104821,0
6037104822,0
6037106010,0
6037106020,0
6037106111,0
6037106112,0
6037106113,0
6037106114,0
6037106403,0
6037106405,0
6037106406,0
6037106407,0
6037106408,0
6037106510,0
6037106520,0
6037106603,0
6037106604,44
6037106641,39
6037106642,34
6037106643,39
6037106645,40
6037106646,46
6037106648,69
6037106649,69
6037107010,69
6037107020,69
6037108101,212
6037108102,36
6037108103,38
6037108104,39
6037108201,47
6037108202,51
6037109100,70
6037109200,84
6037109300,206
6037109400,17
6037109500,33
6037109601,56
6037109603,58
6037109604,70
6037109700,70
6037109800,72
6037111100,77
6037111201,39
6037111202,42
6037111204,87
6037111205,155
6037111206,17
6037111301,18
6037111302,30
6037111400,31
6037113101,32
6037113102,34
6037113211,35
6037113212,68
6037113213,69
6037113231,69
6037113232,70
6037113233,71
6037113234,24
6037113235,30
6037113237,35
6037113301,40
6037113303,42
6037113321,58
6037113322,58
6037113401,71
6037113421,78
6037113422,83
6037115101,175
6037115103,21
6037115104,33
6037115201,33
6037115202,58
6037115301,67
6037115302,67
6037115401,34
6037115403,34
6037115404,34
6037117101,36
6037117102,39
6037117201,42
6037117202,68
6037117301,69
6037117302,71
6037117303,158
6037117404,33
6037117405,34
6037117407,34
6037117408,39
6037117510,67
6037117520,69
6037117530,268
6037119001,12
6037119002,32
6037119201,32
6037119202,38
6037119310,39
6037119320,45
6037119340,67
6037119341,73
6037119342,10
6037119400,33
6037119700,38
6037119800,53
6037119900,69
6037120010,71
6037120020,73
6037120030,10
6037120103,30
6037120104,35
6037120105,41
6037120106,42
6037120107,67
6037120108,69
6037120300,70
6037120400,146
6037121010,11
6037121020,12
6037121101,18
6037121102,28
6037121210,29
6037121221,31
6037121222,38
6037121600,39
6037121801,42
6037121802,59
6037121900,67
6037122000,69
6037122120,70
6037122121,74
6037122122,121
6037122200,15
6037122410,30
6037122420,36
6037123010,42
6037123020,44
6037123103,52
6037123104,69
6037123203,70
6037123204,71
6037123205,74
6037123206,12
6037123301,16
6037123303,30
6037123304,35
6037123410,36
6037123420,39
6037123510,39
6037123520,40
6037123601,42
6037123602,47
6037123700,59
6037123800,73
6037123901,84
6037123902,28
6037124000,30
6037124102,33
6037124103,41
6037124104,42
6037124105,69
6037124201,69
6037124203,70
6037124204,72
6037124300,73
6037124400,78
6037124500,16
6037124600,24
6037124700,28
6037124902,33
6037124903,42
6037125100,59
6037125200,69
6037125310,28
6037125320,30
6037125401,33
6037125402,35
6037125501,40
6037125502,42
6037125600,67
6037127102,69
6037127103,70
6037127104,71
6037127210,71
6037127220,24
6037127300,33
6037127400,33
6037127520,34
6037127603,35
6037127604,36
6037127605,42
6037127606,60
6037127711,62
6037127712,70
6037127803,11
6037127804,17
6037127805,32
6037127806,34
6037127910,39
6037127920,69
6037128101,72
6037128102,72
6037128210,78
6037128220,12
6037128302,17
6037128303,31
6037128400,34
6037128500,39
6037128601,39
6037128602,40
6037128702,43
6037128801,67
6037128802,67
6037128910,71
6037131010,83
6037131020,89
6037131100,29
6037131200,35
6037131300,59
6037131400,67
6037131600,68
6037131701,88
6037131702,16
6037131800,19
6037131900,28
6037132001,28
6037132002,29
6037132101,30
6037132102,34
6037132300,38
6037132501,39
6037132502,42
6037132700,42
6037132900,53
6037133000,69
6037133100,70
6037134001,70
6037134002,70
6037134101,105
6037134103,17
6037134104,29
6037134201,34
6037134302,35
6037134303,38
6037134304,44
6037134305,45
6037134306,46
6037134421,58
6037134422,59
6037134423,62
6037134424,67
6037134520,69
6037134521,72
6037134522,108
6037134710,19
6037134720,32
6037134800,33
6037134901,35
6037134903,35
6037134904,36
6037134905,39
6037135102,41
6037135111,59
6037135113,69
6037135114,70
6037135201,78
6037135202,127
6037135203,16
6037137000,34
6037137103,46
6037137104,49
6037137201,49
6037137301,67
6037137302,68
6037137401,28
6037137402,33
6037137501,36
6037137502,36
6037137504,37
6037138000,40
6037139001,40
6037139200,44
6037139301,44
6037139302,53
6037139303,63
6037139401,69
6037139402,70
6037139502,71
6037139503,80
6037139504,84
6037139600,18
6037139701,28
6037139702,29
6037139703,36
6037139801,38
6037139802,38
6037141101,39
6037141102,41
6037141201,43
6037141202,46
6037141302,49
6037141303,87
6037141304,118
6037141400,20
6037141500,29
6037141600,39
6037141700,39
6037143100,49
6037143200,53
6037143300,63
6037143400,67
6037143500,70
6037143602,70
6037143603,12
6037143604,18
6037143700,36
6037143800,37
6037143901,38
6037143902,49
6037181000,70
6037181300,70
6037181400,71
6037181500,73
6037181600,81
6037183101,89
6037183103,11
6037183104,28
6037183220,32
6037183221,33
6037183222,34
6037183300,34
6037183401,34
6037183402,41
6037183510,44
6037183520,63
6037183610,68
6037183620,70
6037183701,89
6037183702,10
6037183810,14
6037183820,15
6037185100,21
6037185202,31
6037185203,31
6037185204,34
6037185310,35
6037185320,36
6037186100,37
6037186201,38
6037186202,39
6037186203,40
6037186301,42
6037186302,45
6037186401,47
6037186403,49
6037186404,49
6037187101,52
6037187102,71
6037187200,85
6037187300,108
6037188100,182
6037188201,21
6037188202,31
6037188300,32
6037189101,33
6037189102,35
6037189201,35
6037189202,36
6037189300,38
6037189400,39
6037189500,44
6037189600,50
6037189701,68
6037189702,11
6037189800,12
6037189902,17
6037189903,17
6037189904,19
6037189905,19
6037190100,24
6037190201,28
6037190202,29
6037190301,34
6037190401,35
6037190402,42
6037190510,56
6037190520,64
6037190700,69
6037190801,70
6037190802,78
6037190901,81
6037190902,84
6037191000,89
6037191110,28
6037191120,28
6037191201,29
6037191203,31
6037191204,32
6037191301,33
6037191302,34
6037191410,35
6037191420,36
6037191500,43
6037191610,47
6037191620,53
6037191710,53
6037191720,59
6037191810,67
6037191820,69
6037191901,71
6037191902,126
6037192001,16
6037192002,20
6037192300,38
6037192410,52
6037192420,73
6037192510,73
6037192520,80
6037192610,89
6037192620,109
6037192700,18
6037194101,34
6037194102,52
6037194200,60
6037194300,88
6037194401,16
6037194402,27
6037194500,31
6037195100,33
6037195201,34
6037195202,36
6037195300,36
6037195400,42
6037195500,45
6037195600,59
6037195710,59
6037195720,67
6037195802,73
6037195803,28
6037195804,32
6037195901,38
6037195902,38
6037195903,44
6037197200,47
6037197300,47
6037197410,49
6037197420,58
6037197500,67
6037197600,73
6037197700,79
6037199000,40
6037199110,47
6037199120,67
6037199201,70
6037199202,82
6037199300,124
6037199400,161
6037199700,15
6037199800,18
6037199900,18
6037201110,19
6037201120,20
6037201200,22
6037201301,22
6037201302,30
6037201401,30
6037201402,33
6037201501,36
6037201503,38
6037201504,45
6037201601,49
6037201602,62
6037201700,21
6037203100,30
6037203200,31
6037203300,34
6037203500,35
6037203600,38
6037203710,41
6037203720,41
6037203800,42
6037203900,47
6037204110,52
6037204120,54
6037204200,33
6037204300,35
6037204410,38
6037204420,39
6037204600,42
6037204700,52
6037204810,64
6037204820,65
6037204910,71
6037204920,93
6037205110,33
6037205120,36
6037206010,42
6037206020,73
6037206031,130
6037206032,12
6037206050,25
6037206200,39
6037206300,46
6037207101,53
6037207102,56
6037207103,57
6037207301,59
6037207302,60
6037207400,72
6037207501,73
6037207502,130
6037207710,9
6037207900,12
6037208000,21
6037208301,21
6037208302,27
6037208401,31
6037208402,32
6037208501,33
6037208502,37
6037208610,49
6037208620,62
6037208710,78
6037208720,13
6037208801,29
6037208802,30
6037208902,32
6037208903,38
6037208904,48
6037209102,52
6037209103,53
6037209104,54
6037209200,57
6037209300,64
6037209401,72
6037209402,77
6037209403,99
6037209510,18
6037209520,21
6037209810,32
6037209820,34
6037210010,35
6037211000,39
6037211120,43
6037211121,49
6037211122,51
6037211201,53
6037211202,59
6037211310,62
6037211320,62
6037211410,65
6037211420,71
6037211500,75
6037211701,91
6037211703,91
6037211704,15
6037211802,17
6037211803,21
6037211804,34
6037211910,36
6037211921,39
6037211922,42
6037212101,43
6037212102,45
6037212202,45
6037212203,47
6037212204,49
6037212303,49
6037212304,49
6037212305,71
6037212306,87
6037212410,17
6037212420,17
6037212501,18
6037212502,21
6037212610,26
6037212620,30
6037212701,31
6037212702,32
6037212800,41
6037212900,42
6037213100,44
6037213201,44
6037213202,60
6037213310,62
6037213320,65
6037213401,67
6037213402,85
6037214000,88
6037214100,28
6037214400,29
6037214501,34
6037214502,36
6037214503,38
6037214600,43
6037214700,44
6037214800,44
6037214901,47
6037214902,56
6037215101,58
6037215102,62
6037216100,63
6037216200,71
6037216300,91
6037216401,16
6037216402,20
6037216700,22
6037216800,22
6037216900,33
6037217001,33
6037217002,34
6037217100,40
6037217200,51
6037218110,71
6037218120,75
6037218210,78
6037218220,145
6037218300,18
6037218400,32
6037218500,42
6037218600,48
6037218701,58
6037218702,63
6037218800,67
6037218900,67
6037219010,68
6037219020,72
6037219300,83
6037219500,84
6037219700,92
6037219800,94
6037219901,18
6037219902,19
6037220000,28
6037220100,32
6037221110,32
6037221120,36
6037221210,38
6037221220,40
6037221302,49
6037221303,50
6037221304,55
6037221401,56
6037221402,61
6037221500,72
6037221601,74
6037221602,76
6037221710,78
6037221810,29
6037221820,34
6037221900,35
6037222001,38
6037222002,47
6037222100,53
6037222200,59
6037222500,62
6037222600,67
6037222700,76
6037224010,18
6037224020,29
6037224200,33
6037224310,40
6037224320,42
6037224410,47
6037224420,80
6037224600,154
6037224700,20
6037226001,20
6037226002,29
6037226410,30
6037226420,30
6037226700,33
6037227010,36
6037227020,38
6037228100,42
6037228210,47
6037228220,49
6037228310,53
6037228320,64
6037228410,70
6037228420,87
6037228500,6
6037228600,14
6037228710,16
6037228720,17
6037228800,21
6037228900,29
6037229100,36
6037229200,39
6037229300,45
6037229410,46
6037229420,46
6037231100,49
6037231210,58
6037231220,62
6037231300,68
6037231400,68
6037231500,72
6037231600,76
6037231710,94
6037231720,15
6037231800,26
6037231900,29
6037232110,43
6037232120,45
6037232200,59
6037232300,70
6037232400,70
6037232500,77
6037232600,89
6037232700,109
6037232800,127
6037234000,16
6037234200,20
6037234300,26
6037234501,34
6037234502,37
6037234600,53
6037234700,53
6037234800,55
6037234901,60
6037234902,62
6037235100,63
6037235201,65
6037235202,66
6037236000,67
6037236100,69
6037236202,77
6037236203,83
6037236204,84
6037236400,86
6037237101,11
6037237102,26
6037237201,29
6037237202,36
6037237300,42
6037237401,44
6037237402,49
6037237500,53
6037237600,58
6037237710,58
6037237720,61
6037237800,79
6037237900,84
6037238000,101
6037238100,133
6037238200,28
6037238310,36
6037238320,37
6037238400,43
6037239201,45
6037239202,57
6037239310,65
6037239320,78
6037239330,20
6037239501,27
6037239502,31
6037239601,36
6037239602,36
6037239701,41
6037239702,43
6037239801,47
6037239802,56
6037240010,67
6037240020,83
6037240200,91
6037240300,13
6037240401,15
6037240402,18
6037240500,21
6037240600,36
6037240700,37
6037240800,45
6037240900,45
6037241001,55
6037241002,60
6037241110,68
6037241120,71
6037241201,12
6037241202,28
6037241300,31
6037241400,40
6037242000,45
6037242100,49
6037242200,53
6037242300,62
6037242600,67
6037242700,68
6037243000,75
6037243100,76
6037261101,82
6037261102,90
6037261200,9
6037262100,15
6037262200,45
6037262301,45
6037262302,54
6037262303,64
6037262400,67
6037262501,67
6037262601,73
6037262604,80
6037262704,85
6037262706,20
6037262802,30
6037264000,33
6037264102,33
6037264103,34
6037264301,58
6037264302,58
6037265100,65
6037265201,31
6037265202,33
6037265301,33
6037265303,34
6037265304,36
6037265305,38
6037265410,40
6037265420,52
6037265510,56
6037265520,59
6037265601,64
6037265602,78
6037265700,90
6037267100,91
6037267200,142
6037267300,9
6037267402,17
6037267403,21
6037267404,25
6037267501,26
6037267502,27
6037267600,54
6037267700,55
6037267800,57
6037267901,69
6037267902,75
6037269000,8
6037269100,21
6037269300,39
6037269500,55
6037269601,58
6037269602,61
6037269700,80
6037269800,83
6037269903,85
6037269904,10
6037269905,12
6037269906,18
6037269907,21
6037270100,28
6037270200,29
6037270300,29
6037271100,42
6037271200,47
6037271300,60
6037271400,79
6037271500,83
6037271600,84
6037271701,85
6037271702,86
6037271801,98
6037271802,149
6037271901,154
6037271902,19
6037272100,28
6037272201,32
6037272202,35
6037272301,37
6037272302,38
6037273100,49
6037273200,49
6037273300,60
6037273402,65
6037273502,77
6037273600,80
6037273700,83
6037273800,102
6037273902,122
6037274100,29
6037274202,32
6037275101,36
6037275102,47
6037275200,51
6037275302,53
6037275311,54
6037275400,55
6037275500,56
6037275602,62
6037275603,62
6037276000,63
6037276100,78
6037276400,12
6037276500,24
6037276601,25
6037276603,25
6037276604,31
6037277000,47
6037277100,52
6037277200,55
6037277400,57
6037278001,62
6037278102,69
6037291110,83
6037291120,83
6037291130,119
6037291210,25
6037291220,28
6037291300,32
6037292000,32
6037293201,34
6037293202,36
6037293301,45
6037293302,62
6037293304,75
6037293306,93
6037293307,19
6037294110,24
6037294120,29
6037294200,31
6037294301,36
6037294302,45
6037294410,47
6037294421,60
6037294510,63
6037294520,67
6037294610,72
6037294620,12
6037294701,17
6037294810,21
6037294820,24
6037294830,29
6037294900,49
6037295103,53
6037296210,54
6037296220,64
6037296300,67
6037296401,141
6037296402,27
6037296500,29
6037296600,29
6037296901,36
6037296902,40
6037297000,45
6037297110,47
6037297120,52
6037297201,74
6037297202,78
6037297300,84
6037297400,13
6037297500,19
6037297601,22
6037297602,29
6037300100,31
6037300200,34
6037300301,43
6037300400,52
6037300501,52
6037300502,67
6037300600,83
6037300701,26
6037300702,32
6037300800,47
6037300901,52
6037300902,56
6037301000,63
6037301100,75
6037301203,103
6037301204,105
6037301205,109
6037301206,21
6037301300,22
6037301400,32
6037301501,34
6037301502,41
6037301601,46
6037301602,64
6037301701,74
6037301702,75
6037301801,79
6037301802,87
6037301900,101
6037302002,122
6037302003,6
6037302004,23
6037302102,37
6037302103,38
6037302104,41
6037302201,45
6037302202,46
6037302301,55
6037302302,57
6037302401,61
6037302503,65
6037302504,73
6037302505,100
6037302506,152
6037310100,45
6037310201,45
6037310202,52
6037310300,59
6037310400,62
6037310501,77
6037310601,78
6037310602,78
6037310701,91
6037310702,104
6037310703,108
6037310800,31
6037310900,36
6037311000,40
6037311100,73
6037311200,90
6037311300,92
6037311400,124
6037311500,15
6037311600,24
6037311700,27
6037311801,28
6037311802,30
6037320000,32
6037320100,34
6037320201,35
6037320202,38
6037320300,45
6037400204,46
6037400205,51
6037400206,62
6037400207,74
6037400302,12
6037400304,21
6037400402,27
6037400403,27
6037400404,28
6037400501,31
6037400602,33
6037400603,44
6037400604,47
6037400800,55
6037400900,17
6037401001,18
6037401002,24
6037401101,27
6037401102,33
6037401201,40
6037401202,45
6037401203,57
6037401303,73
6037401304,77
6037401311,83
6037401312,87
6037401500,87
6037401601,87
6037401602,100
6037401603,230
6037401701,16
6037401703,17
6037401704,26
6037401800,37
6037401901,37
6037401902,44
6037402001,55
6037402002,60
6037402101,62
6037402102,64
6037402200,65
6037402301,69
6037402303,79
6037402304,87
6037402402,103
6037402403,13
6037402404,14
6037402405,16
6037402406,25
6037402501,28
6037402502,32
6037402600,52
6037402702,56
6037402703,62
6037402705,87
6037402706,99
6037402801,101
6037402803,123
6037402804,20
6037402902,21
6037402903,34
6037402904,36
6037403000,38
6037403200,44
6037403303,47
6037403304,51
6037403305,52
6037403312,57
6037403316,134
6037403317,12
6037403318,16
6037403319,22
6037403320,26
6037403321,26
6037403322,32
6037403323,33
6037403324,40
6037403325,45
6037403401,48
6037403402,48
6037403403,49
6037403404,53
6037403405,54
6037403406,55
6037403407,58
6037403408,58
6037403500,67
6037403600,74
6037403702,82
6037403703,30
6037403721,37
6037403722,43
6037403801,46
6037403802,46
6037403901,48
6037403902,50
6037404000,57
6037404100,77
6037404201,80
6037404202,105
6037404301,107
6037404302,149
6037404401,20
6037404402,36
6037404501,40
6037404503,45
6037404504,49
6037404600,50
6037404701,53
6037404702,56
6037404703,58
6037404801,63
6037404802,77
6037404803,79
6037404901,124
6037404902,3
6037404903,19
6037405001,22
