geoid2,vet_est,civ_est
6037320000,1,1
6037980001,1,1
6037980002,1,1
6037980003,1,1
6037980004,1,1
6037980005,1,1
6037980006,1,1
6037980007,1,1
6037980013,1,1
6037980014,1,1
6037980018,1,1
6037980020,1,1
6037980022,1,1
6037980023,1,1
6037980025,1,1
6037980028,1,1
6037980030,1,1
6037990100,1,1
6037990200,1,1
6037990300,1,1
6037980009,1,5
6037504102,1,7
6037980021,1,8
6037980033,12,12
6037980026,4,16
6037551600,6,31
6037575500,1,35
6037532400,1,45
6037930101,7,45
6037980008,1,48
6037980010,9,105
6037980019,1,133
6037574700,64,143
6037910811,1,151
6037980024,5,185
6037599100,7,234
6037910812,38,263
6037920011,28,266
6037920026,48,359
6037980015,35,419
6037930200,11,449
6037900102,39,528
6037920033,64,536
6037800331,27,576
6037403200,50,643
6037460401,38,663
6037800330,35,788
6037930301,43,798
6037572800,100,798
6037572100,77,809
6037900201,102,822
6037621002,56,823
6037541001,61,852
6037920012,62,872
6037572400,56,969
6037910205,77,974
6037573401,24,976
6037430200,50,1004
6037701100,523,1005
6037404600,38,1016
6037207400,12,1044
6037574602,81,1062
6037275101,4,1078
6037980031,90,1090
6037550400,58,1094
6037277400,29,1152
6037265410,17,1169
6037433302,27,1176
6037530602,69,1180
6037901209,135,1186
6037577504,90,1194
6037533106,4,1211
6037910403,16,1228
6037571600,43,1231
6037910101,31,1245
6037577604,91,1249
6037203300,14,1251
6037554103,37,1261
6037603004,66,1267
6037461700,48,1304
6037404803,30,1308
6037920303,15,1334
6037910709,87,1345
6037403405,60,1355
6037540201,27,1361
6037433501,28,1364
6037670500,114,1364
6037920119,55,1367
6037620201,46,1376
6037901210,126,1383
6037533203,14,1397
6037535606,38,1398
6037297300,196,1416
6037224310,24,1419
6037113235,50,1422
6037212304,31,1427
6037204410,28,1433
6037219500,102,1438
6037920039,155,1448
6037573003,75,1467
6037242100,1,1478
6037533502,8,1479
6037108104,48,1482
6037501804,37,1486
6037601301,53,1487
6037104703,16,1499
6037265420,53,1503
6037575801,35,1508
6037603006,54,1521
6037533503,23,1527
6037408706,65,1528
6037403500,68,1529
6037534101,43,1535
6037530301,63,1535
6037301300,57,1536
6037670406,50,1541
6037208301,11,1548
6037226002,28,1563
6037408202,6,1570
6037102105,116,1580
6037124103,26,1584
6037573902,77,1592
6037461902,91,1592
6037102103,104,1594
6037294120,5,1609
6037901007,126,1616
6037185204,114,1625
6037600703,84,1632
6037204820,46,1639
6037137504,77,1639
6037226001,5,1649
6037407400,76,1650
6037540400,23,1652
6037463300,85,1654
6037218702,63,1656
6037301501,33,1660
6037920328,95,1662
6037194500,41,1670
6037550000,100,1673
6037186202,57,1674
6037195902,38,1695
6037406411,69,1695
6037403407,38,1704
6037403305,83,1704
6037300902,94,1707
6037541606,39,1720
6037400501,117,1720
6037406402,98,1729
6037212501,87,1730
6037920018,118,1730
6037291120,31,1735
6037404302,32,1737
6037609900,78,1744
6037206050,71,1750
6037530700,16,1757
6037228900,12,1760
6037535503,21,1764
6037554104,55,1764
6037533105,15,1770
6037201504,59,1771
6037120104,27,1774
6037211121,36,1776
6037600502,142,1778
6037201110,76,1780
6037201601,89,1781
6037301205,75,1784
6037600602,31,1786
6037209104,11,1794
6037910809,102,1798
6037113231,98,1803
6037208501,23,1810
6037463000,63,1810
6037137301,92,1813
6037462600,110,1813
6037191204,15,1815
6037574202,107,1821
6037503104,91,1825
6037408004,67,1831
6037189702,61,1832
6037120030,24,1833
6037404501,64,1838
6037297601,361,1838
6037218701,75,1841
6037183104,123,1848
6037234901,71,1853
6037401303,105,1853
6037241300,20,1855
6037601001,142,1858
6037531503,15,1864
6037552400,50,1870
6037570702,145,1870
6037533002,4,1871
6037106641,101,1875
6037433101,42,1881
6037183401,75,1883
6037191302,44,1887
6037650102,110,1887
6037122122,40,1890
6037195720,24,1892
6037311400,107,1892
6037195901,42,1894
6037123205,8,1899
6037402404,1,1905
6037201200,36,1908
6037211921,158,1911
6037224200,3,1915
6037204920,30,1918
6037207103,34,1927
6037121221,53,1936
6037273600,27,1938
6037224420,23,1940
6037532604,8,1943
6037106649,77,1946
6037408630,54,1947
6037480202,73,1948
6037650701,123,1950
6037121102,114,1952
6037224010,14,1957
6037104822,18,1957
6037224020,1,1958
6037209520,35,1961
6037195903,13,1969
6037113301,172,1969
6037127603,35,1970
6037406412,168,1974
6037277200,48,1988
6037199900,28,1991
6037199110,84,1993
6037212102,27,1995
6037502003,51,1996
6037108101,49,1997
6037271100,65,1998
6037533201,19,1999
6037197600,34,2001
6037234200,55,2001
6037542601,16,2002
6037237500,19,2005
6037123520,57,2011
6037270300,78,2014
6037910712,96,2014
6037463101,117,2014
6037651401,74,2015
6037139402,63,2020
6037213320,11,2022
6037670202,92,2027
6037533202,4,2032
6037920041,99,2034
6037920044,145,2038
6037211202,15,2039
6037120010,39,2039
6037294301,74,2041
6037239330,7,2042
6037501501,106,2042
6037600501,140,2043
6037189202,74,2048
6037293306,81,2048
6037293307,59,2052
6037404903,63,2054
6037535400,1,2058
6037920332,85,2060
6037702802,113,2061
6037234501,115,2063
6037124105,32,2068
6037310701,36,2070
6037434004,18,2078
6037143603,90,2078
6037217001,33,2081
6037216100,81,2081
6037209820,12,2082
6037900704,171,2082
6037124104,44,2084
6037408505,96,2087
6037553503,28,2088
6037212701,66,2089
6037121600,80,2091
6037278001,98,2093
6037188202,31,2099
6037670403,164,2099
6037273100,97,2101
6037221602,13,2103
6037125600,60,2104
6037267901,166,2104
6037189903,58,2107
6037554513,74,2107
6037920023,47,2110
6037120105,53,2111
6037800504,106,2113
6037104404,1,2114
6037920322,74,2114
6037191301,18,2115
6037103101,178,2115
6037208902,1,2117
6037189905,16,2118
6037207501,82,2121
6037122121,57,2127
6037192300,95,2127
6037310300,219,2133
6037183510,78,2134
6037123206,44,2135
6037220100,93,2136
6037910810,97,2136
6037135201,101,2139
6037209810,38,2140
6037550201,83,2141
6037117202,120,2141
6037204120,60,2142
6037600601,274,2142
6037191902,60,2144
6037482702,140,2147
6037901008,203,2147
6037600802,179,2149
6037191203,17,2150
6037620901,107,2151
6037221710,27,2152
6037910505,84,2153
6037232110,21,2154
6037124204,39,2155
6037603703,131,2157
6037195804,1,2158
6037228320,32,2160
6037237720,45,2160
6037218500,91,2164
6037106407,110,2164
6037239801,21,2166
6037402803,46,2167
6037294421,66,2169
6037186404,26,2170
6037192001,60,2172
6037267800,54,2174
6037402405,149,2175
6037310602,115,2177
6037574601,5,2180
6037533103,11,2182
6037601211,111,2182
6037533403,20,2187
6037209510,37,2190
6037294701,42,2192
6037403303,110,2194
6037602002,68,2200
6037236204,125,2200
6037228420,1,2201
6037404503,48,2206
6037432801,64,2206
6037262400,130,2206
6037120103,6,2207
6037207102,58,2207
6037620904,61,2207
6037431300,77,2207
6037534403,5,2209
6037117102,62,2210
6037532603,11,2211
6037203500,41,2214
6037189101,111,2215
6037204420,55,2216
6037533701,26,2218
6037221303,46,2218
6037119342,20,2221
6037403404,82,2221
6037265100,240,2221
6037123902,37,2223
6037214600,76,2226
6037532700,25,2234
6037408629,101,2235
6037191710,44,2239
6037533501,1,2241
6037533300,21,2241
6037141500,135,2244
6037531603,32,2246
6037229410,1,2249
6037262302,66,2254
6037139703,94,2254
6037109604,187,2254
6037433401,41,2255
6037117408,67,2255
6037910606,109,2255
6037237102,15,2256
6037433503,25,2257
6037269905,52,2258
6037195802,45,2259
6037291300,175,2260
6037199202,75,2262
6037137104,100,2262
6037541603,42,2266
6037500500,46,2266
6037203900,47,2266
6037272201,88,2266
6037219800,39,2270
6037600304,60,2270
6037296210,45,2272
6037530203,79,2272
6037267600,36,2273
6037211410,28,2275
6037920314,97,2275
6037134424,113,2275
6037576501,228,2275
6037670405,237,2277
6037530601,42,2280
6037186403,92,2281
6037900508,210,2284
6037534802,15,2285
6037211701,35,2288
6037190201,76,2288
6037570002,136,2288
6037221402,109,2289
6037214700,41,2290
6037241201,56,2290
6037121801,90,2290
6037134901,103,2290
6037109100,107,2290
6037194401,38,2293
6037502302,53,2298
6037221601,45,2299
6037920111,310,2299
6037221810,31,2300
6037124500,125,2300
6037481714,22,2302
6037621102,125,2304
6037503901,165,2305
6037600302,165,2305
6037542800,113,2306
6037121101,61,2307
6037190402,103,2309
6037433602,58,2310
6037222001,75,2310
6037241110,19,2311
6037542900,81,2312
6037212305,5,2313
6037107010,37,2314
6037139401,184,2315
6037554405,96,2316
6037104500,15,2317
6037141202,72,2317
6037235201,161,2317
6037400205,136,2318
6037127103,49,2319
6037462800,141,2319
6037183620,54,2320
6037124902,70,2320
6037575803,108,2320
6037920104,145,2320
6037134304,109,2321
6037275603,159,2321
6037124203,63,2322
6037183702,123,2322
6037574201,126,2323
6037401603,183,2323
6037408134,142,2327
6037234502,126,2329
6037214501,44,2330
6037532001,36,2331
6037800406,114,2337
6037542402,39,2340
6037800328,101,2345
6037201503,21,2346
6037402001,160,2347
6037186301,20,2350
6037650605,185,2350
6037201602,70,2351
6037462202,22,2352
6037119341,41,2352
6037109200,153,2354
6037185320,16,2357
6037271200,27,2357
6037403406,103,2359
6037311801,135,2359
6037910402,119,2360
6037211201,45,2362
6037262301,62,2362
6037262303,122,2362
6037600704,247,2362
6037218800,97,2363
6037542104,33,2364
6037603500,103,2364
6037187200,26,2366
6037115404,52,2368
6037204200,6,2370
6037127806,36,2370
6037554801,39,2370
6037213100,57,2372
6037190801,54,2373
6037404703,51,2374
6037189904,27,2375
6037543701,84,2378
6037221820,26,2380
6037208402,29,2380
6037920032,139,2381
6037191620,26,2382
6037239601,59,2383
6037212306,64,2383
6037481800,100,2386
6037650501,152,2386
6037141304,62,2387
6037127712,67,2387
6037482001,173,2388
6037212203,37,2389
6037400302,177,2389
6037134521,9,2391
6037237402,110,2391
6037186203,110,2392
6037531502,38,2393
6037405002,26,2395
6037534203,22,2398
6037540700,56,2400
6037123204,16,2401
6037192002,45,2402
6037195803,36,2405
6037400604,76,2406
6037232200,94,2406
6037531102,13,2408
6037541100,90,2408
6037273700,95,2410
6037300501,94,2411
6037224320,18,2412
6037120107,8,2413
6037111100,160,2413
6037900804,122,2415
6037503301,130,2415
6037481605,78,2417
6037433306,9,2418
6037204110,22,2418
6037920036,93,2418
6037460800,189,2419
6037534302,26,2420
6037574800,127,2423
6037463700,181,2423
6037542106,19,2425
6037601801,34,2425
6037570404,37,2429
6037294820,52,2429
6037221120,42,2432
6037433307,62,2433
6037502802,75,2435
6037900505,204,2435
6037262802,95,2436
6037555002,97,2438
6037106408,24,2440
6037900606,169,2441
6037205120,12,2443
6037119340,26,2447
6037121210,72,2448
6037910206,148,2448
6037212502,52,2449
6037541002,164,2450
6037406701,128,2451
6037265201,64,2452
6037224600,35,2453
6037480903,49,2453
6037238320,31,2455
6037264103,52,2456
6037185310,38,2457
6037117407,17,2458
6037800506,83,2458
6037294900,58,2459
6037212204,8,2461
6037401001,200,2463
6037128220,44,2465
6037221210,71,2465
6037408723,90,2465
6037401201,183,2467
6037296402,190,2471
6037228410,1,2472
6037401102,145,2472
6037135113,131,2473
6037533107,27,2474
6037219010,33,2474
6037199700,56,2476
6037262100,97,2477
6037481713,27,2478
6037106010,166,2480
6037127604,49,2482
6037117405,1,2484
6037241002,103,2484
6037533806,1,2488
6037211704,22,2489
6037650003,131,2491
6037294520,43,2493
6037143902,49,2493
6037570100,171,2493
6037227020,32,2494
6037264000,172,2500
6037123303,51,2502
6037106603,80,2503
6037141700,139,2504
6037482102,128,2505
6037277100,104,2506
6037216800,122,2507
6037104821,16,2509
6037183221,41,2510
6037599000,90,2510
6037532002,56,2513
6037239602,41,2516
6037265602,128,2517
6037241400,15,2519
6037132001,128,2519
6037433902,48,2520
6037571703,68,2520
6037226410,4,2522
6037920040,103,2522
6037408623,115,2522
6037240010,16,2524
6037920110,71,2526
6037264102,82,2526
6037203710,19,2528
6037297120,56,2529
6037408501,37,2531
6037189300,81,2532
6037141102,94,2533
6037139502,64,2534
6037104403,35,2535
6037269602,69,2537
6037239502,64,2538
6037293301,139,2540
6037190802,25,2541
6037571800,273,2542
6037534404,26,2543
6037104620,37,2543
6037301701,68,2543
6037183402,19,2544
6037231210,30,2544
6037271500,174,2546
6037920106,163,2547
6037702803,137,2551
6037204910,34,2552
6037216402,65,2552
6037900607,155,2557
6037294830,18,2558
6037431002,154,2559
6037236203,166,2560
6037135111,77,2562
6037218600,30,2563
6037535002,33,2563
6037575901,73,2563
6037535603,24,2565
6037572500,140,2565
6037209103,11,2566
6037700700,85,2566
6037132002,134,2570
6037122410,67,2571
6037311200,216,2571
6037269906,68,2573
6037106642,122,2574
6037124201,154,2574
6037536102,108,2580
6037117510,35,2581
6037211320,9,2587
6037228710,51,2590
6037572302,90,2590
6037532800,8,2591
6037900608,213,2591
6037530802,43,2594
6037402705,77,2594
6037310400,122,2595
6037109300,126,2595
6037208801,8,2596
6037131100,103,2598
6037408704,103,2600
6037214902,41,2601
6037910804,368,2604
6037553400,75,2607
6037104610,23,2613
6037186401,21,2616
6037544002,78,2617
6037500300,69,2619
6037651221,119,2620
6037128303,55,2621
6037113102,120,2625
6037183610,68,2626
6037555202,227,2626
6037910808,177,2627
6037554101,49,2629
6037221401,88,2629
6037273800,95,2632
6037620002,142,2632
6037101220,85,2633
6037191820,53,2634
6037601502,62,2635
6037920034,238,2635
6037461400,53,2637
6037231100,57,2637
6037269907,13,2639
6037127606,93,2640
6037405301,200,2640
6037205110,10,2641
6037214000,78,2642
6037232800,4,2646
6037239201,28,2646
6037406101,94,2646
6037501700,84,2648
6037240402,74,2649
6037501001,50,2650
6037273300,41,2652
6037621326,156,2652
6037535501,17,2653
6037131200,160,2653
6037214400,18,2654
6037570402,128,2654
6037237710,34,2656
6037910714,43,2658
6037273502,61,2663
6037602302,194,2664
6037269601,67,2666
6037139801,146,2666
6037536000,54,2668
6037533702,19,2670
6037481902,111,2671
6037482502,54,2672
6037218110,111,2672
6037576904,63,2676
6037127711,74,2676
6037108103,169,2676
6037104401,14,2678
6037187102,34,2679
6037262601,104,2679
6037273402,86,2684
6037408624,147,2684
6037211922,25,2685
6037134522,77,2686
6037577400,147,2688
6037600801,171,2691
6037269800,52,2694
6037920029,196,2694
6037530901,24,2695
6037543703,159,2695
6037123020,59,2697
6037239501,18,2698
6037214800,30,2698
6037296401,116,2700
6037403901,129,2700
6037531604,25,2701
6037215101,36,2703
6037910502,75,2705
6037543201,94,2708
6037237101,45,2710
6037534405,19,2713
6037111201,162,2713
6037570203,30,2714
6037533902,6,2720
6037503106,176,2720
6037123203,31,2721
6037600911,171,2722
6037501504,108,2723
6037212101,51,2725
6037212303,30,2726
6037543305,88,2727
6037576903,74,2730
6037670326,260,2733
6037533805,12,2734
6037124600,93,2734
6037191720,9,2735
6037575402,37,2736
6037195202,87,2737
6037603200,99,2737
6037101122,235,2738
6037272301,69,2739
6037273200,85,2741
6037208802,70,2743
6037432902,94,2743
6037127104,80,2744
6037183300,72,2746
6037404201,142,2746
6037554301,153,2746
6037212420,35,2749
6037121802,149,2750
6037231710,24,2751
6037187101,37,2752
6037294810,35,2753
6037183820,74,2753
6037402904,136,2753
6037577602,325,2756
6037106403,94,2759
6037800325,254,2759
6037104701,34,2761
6037480802,189,2763
6037551201,57,2764
6037269500,67,2764
6037542103,41,2765
6037104204,125,2765
6037291110,119,2767
6037228210,36,2768
6037211804,28,2769
6037185203,30,2769
6037211122,75,2769
6037501802,101,2771
6037408006,77,2772
6037407302,89,2775
6037910602,148,2775
6037262501,234,2777
6037553300,62,2779
6037480703,130,2779
6037222200,60,2780
6037573002,63,2781
6037602801,51,2786
6037237201,53,2786
6037480002,155,2786
6037291130,85,2787
6037271901,96,2787
6037552002,122,2789
6037530003,179,2789
6037463200,163,2790
6037195600,35,2791
6037430721,72,2792
6037267902,120,2792
6037702700,106,2793
6037206010,36,2795
6037113212,82,2796
6037701701,83,2796
6037207502,93,2796
6037117520,18,2797
6037407002,91,2798
6037262706,254,2798
6037551101,68,2799
6037186201,117,2801
6037234800,107,2808
6037433802,116,2808
6037218210,85,2809
6037212202,18,2810
6037195201,77,2810
6037237600,84,2810
6037190700,80,2811
6037201120,57,2816
6037189102,38,2822
6037214503,79,2825
6037530400,82,2825
6037192620,8,2828
6037481300,54,2828
6037532605,68,2828
6037408627,123,2828
6037482304,34,2829
6037402804,40,2829
6037269300,98,2830
6037601501,24,2831
6037123602,75,2831
6037265601,123,2832
6037183520,31,2833
6037910404,108,2833
6037239310,35,2834
6037291220,77,2835
6037408140,76,2836
6037533402,1,2837
6037262704,104,2838
6037106646,116,2839
6037208502,22,2843
6037187300,38,2843
6037570303,104,2843
6037224410,26,2844
6037572202,82,2844
6037463900,327,2846
6037221304,54,2847
6037106645,165,2848
6037462302,40,2852
6037573403,189,2853
6037221110,16,2855
6037574901,119,2855
6037242000,125,2857
6037124300,55,2858
6037108102,137,2861
6037103300,199,2861
6037210010,24,2862
6037267700,34,2863
6037239702,46,2864
6037106113,143,2865
6037402303,51,2866
6037533104,16,2868
6037122200,33,2868
6037621204,141,2868
6037670001,150,2868
6037554001,205,2868
6037601802,33,2869
6037190401,32,2871
6037191901,106,2873
6037405701,45,2874
6037600303,52,2874
6037211420,38,2877
6037543601,55,2878
6037404401,58,2878
6037267404,53,2881
6037701202,64,2881
6037183222,139,2882
6037214901,54,2886
6037602506,199,2886
6037209403,26,2887
6037128801,131,2887
6037125501,205,2887
6037302506,75,2888
6037570902,210,2890
6037128602,97,2893
6037183101,108,2893
6037239320,26,2894
6037134001,20,2895
6037534804,6,2896
6037234902,87,2896
6037221220,31,2897
6037481603,76,2898
6037462001,74,2900
6037920107,80,2900
6037237401,101,2900
6037553701,19,2901
6037602004,98,2901
6037109400,114,2904
6037278102,103,2905
6037209402,40,2906
6037432401,61,2906
6037602700,170,2907
6037407802,129,2909
6037123010,74,2910
6037115403,121,2910
6037125200,96,2913
6037141303,104,2913
6037601202,40,2916
6037117303,167,2916
6037228220,31,2919
6037215102,61,2920
6037700901,92,2924
6037575102,56,2925
6037201301,78,2926
6037407602,85,2926
6037234700,136,2929
6037401002,224,2929
6037219902,35,2932
6037271400,174,2935
6037620521,130,2937
6037701201,187,2939
6037296500,60,2940
6037311000,96,2940
6037203720,70,2941
6037910201,158,2941
6037620102,205,2941
6037128101,53,2942
6037601600,39,2946
6037554203,42,2946
6037261101,98,2947
6037267502,30,2948
6037209401,41,2949
6037194102,135,2949
6037204600,55,2951
6037532500,29,2952
6037134423,206,2956
6037536104,35,2958
6037121020,37,2958
6037214100,65,2958
6037221500,139,2962
6037403402,147,2963
6037602505,134,2965
6037131702,178,2965
6037543903,137,2966
6037554519,140,2966
6037199300,88,2972
6037405203,76,2973
6037104103,236,2973
6037191810,19,2975
6037600201,92,2976
6037531504,69,2980
6037134421,88,2980
6037530204,12,2982
6037603802,182,2983
6037901213,388,2983
6037237800,200,2984
6037533001,30,2985
6037501803,91,2985
6037219300,178,2985
6037408135,142,2986
6037113101,141,2987
6037603102,192,2988
6037270200,94,2989
6037554511,98,2989
6037554302,64,2990
6037208904,34,2992
6037550901,170,2995
6037297201,113,2996
6037573300,9,2999
6037463102,67,2999
6037502902,70,2999
6037199201,83,3001
6037920115,217,3002
6037650603,213,3003
6037670201,233,3003
6037481201,51,3004
6037406902,57,3006
6037403702,192,3006
6037195300,82,3007
6037191420,155,3010
6037402304,55,3013
6037132502,85,3014
6037194300,66,3019
6037502402,124,3019
6037192510,16,3020
6037197420,23,3020
6037405900,140,3022
6037119201,63,3024
6037408139,83,3026
6037194200,109,3026
6037920331,170,3026
6037571704,94,3027
6037134302,133,3027
6037242600,24,3028
6037194101,71,3029
6037297400,239,3031
6037534201,34,3034
6037296902,233,3034
6037571503,198,3035
6037296901,83,3037
6037910301,350,3037
6037535001,32,3040
6037275102,147,3043
6037462900,166,3043
6037480201,158,3044
6037532102,34,3048
6037120020,29,3049
6037125502,100,3049
6037213310,38,3050
6037106648,33,3051
6037503801,203,3051
6037188201,82,3053
6037463800,278,3053
6037127805,10,3056
6037189400,135,3057
6037403322,119,3058
6037620303,150,3058
6037120106,37,3060
6037701702,98,3060
6037294110,140,3060
6037197200,92,3061
6037320201,117,3061
6037530004,121,3061
6037408136,161,3062
6037132900,117,3063
6037554404,91,3064
6037211803,46,3066
6037576302,69,3067
6037402801,39,3069
6037127605,52,3069
6037502500,85,3071
6037577501,264,3071
6037482401,56,3073
6037900705,316,3078
6037535604,11,3079
6037213202,17,3081
6037267403,91,3081
6037216700,110,3082
6037575001,100,3085
6037530902,10,3087
6037480303,64,3089
6037121900,52,3090
6037123103,53,3091
6037502004,46,3094
6037576802,169,3095
6037261102,212,3097
6037113211,99,3098
6037543400,158,3098
6037265304,1,3099
6037239701,11,3099
6037188300,60,3101
6037134306,102,3101
6037670002,229,3102
6037203100,44,3105
6037143604,109,3105
6037910501,146,3105
6037124102,37,3108
6037294610,42,3111
6037183701,88,3111
6037540600,79,3112
6037402903,81,3117
6037555104,95,3118
6037408625,166,3119
6037910605,92,3120
6037311802,151,3120
6037296220,76,3121
6037571102,204,3124
6037228720,24,3126
6037212702,93,3126
6037572301,74,3128
6037533703,4,3131
6037480803,116,3131
6037271801,79,3132
6037503105,100,3133
6037229420,35,3134
6037462002,75,3134
6037554105,86,3134
6037311300,122,3134
6037265202,89,3135
6037570204,180,3135
6037272202,35,3140
6037408137,118,3140
6037554204,142,3140
6037111205,178,3140
6037434001,86,3143
6037181500,147,3143
6037301400,52,3144
6037553801,23,3145
6037119310,91,3146
6037576301,148,3148
6037481102,51,3149
6037115302,61,3150
6037302201,1,3151
6037602509,51,3154
6037481604,86,3154
6037900900,343,3156
6037407502,72,3157
6037212800,28,3158
6037183220,88,3158
6037702202,132,3158
6037503402,201,3158
6037104704,104,3159
6037134305,22,3161
6037534301,17,3162
6037480101,104,3162
6037900703,228,3164
6037123901,97,3166
6037621324,253,3166
6037480902,76,3167
6037910504,124,3167
6037407601,63,3168
6037500403,102,3168
6037501900,174,3168
6037553702,9,3170
6037127520,45,3170
6037311100,128,3171
6037294302,100,3172
6037402002,165,3173
6037241001,53,3176
6037531202,10,3177
6037402706,35,3178
6037197500,49,3178
6037433700,155,3180
6037228310,16,3182
6037222100,42,3182
6037189701,114,3182
6037554201,57,3183
6037575202,30,3184
6037501400,158,3185
6037553502,165,3186
6037530006,113,3188
6037269100,90,3189
6037119001,92,3189
6037408800,113,3191
6037910707,190,3191
6037602900,86,3193
6037275400,212,3194
6037500100,258,3194
6037555212,69,3196
6037910813,285,3199
6037570603,184,3200
6037302002,51,3201
6037602003,71,3201
6037573004,141,3202
6037554515,203,3204
6037552302,153,3205
6037532304,160,3205
6037310501,32,3207
6037552001,146,3207
6037575201,63,3208
6037603301,136,3208
6037530500,68,3209
6037217200,95,3209
6037242300,54,3210
6037551502,123,3210
6037404902,63,3214
6037199120,57,3216
6037920038,171,3216
6037651102,252,3217
6037534002,28,3228
6037134002,79,3229
6037462400,127,3231
6037240800,45,3232
6037124903,120,3233
6037143901,89,3235
6037554516,120,3236
6037603101,216,3236
6037190202,50,3237
6037122420,44,3240
6037900506,122,3240
6037900701,246,3240
6037533601,28,3241
6037228600,48,3245
6037128400,102,3245
6037430501,185,3245
6037127803,61,3246
6037297602,98,3248
6037462201,211,3248
6037135102,219,3249
6037603302,237,3249
6037102107,183,3250
6037460502,160,3251
6037102104,133,3252
6037461501,132,3254
6037190520,59,3257
